#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 974: Waterhole, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Waterhole (974) 
# Washington  SNOTEL Site - 5010 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 23, 2021 8:15:07 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2000-02-20,34.3,53.1,51,29,36,0.10
2000-02-21,34.4,53.2,41,31,34,0.30
2000-02-22,34.7,53.5,34,25,30,0.40
2000-02-23,35.1,53.9,42,18,26,0.10
2000-02-24,35.2,54.0,36,17,24,0.00
2000-02-25,35.2,54.0,35,23,27,0.30
2000-02-26,35.5,54.3,38,25,30,0.30
2000-02-27,35.8,54.6,50,27,33,0.00
2000-02-28,35.7,54.6,33,26,29,0.00
2000-02-29,35.9,54.6,38,27,32,0.20
2000-03-01,35.9,54.8,32,24,28,0.00
2000-03-02,36.5,54.8,47,29,33,0.60
2000-03-03,36.6,55.4,41,29,31,0.10
2000-03-04,37.0,55.5,44,19,29,0.40
2000-03-05,36.9,55.9,40,14,22,0.00
2000-03-06,37.0,55.9,36,13,22,0.00
2000-03-07,37.0,55.9,39,17,26,0.00
2000-03-08,36.9,55.9,36,27,31,0.30
2000-03-09,37.2,56.2,47,24,31,0.00
2000-03-10,37.0,56.2,42,22,29,0.40
2000-03-11,37.4,56.6,38,21,28,0.50
2000-03-12,37.9,57.1,40,19,28,0.20
2000-03-13,38.1,57.3,42,29,34,0.40
2000-03-14,38.5,57.7,,,,0.10
2000-03-15,38.6,57.8,40,17,28,0.00
2000-03-16,39.4,57.8,38,22,29,0.40
2000-03-17,39.0,58.2,39,24,29,0.50
2000-03-18,39.5,58.7,36,23,30,0.80
2000-03-19,40.3,59.5,39,17,26,0.10
2000-03-20,40.4,59.6,47,16,28,0.40
2000-03-21,40.8,60.0,49,29,36,0.40
2000-03-22,41.2,60.4,42,24,33,0.00
2000-03-23,40.9,60.4,46,23,30,0.20
2000-03-24,41.1,60.6,47,20,31,0.00
2000-03-25,41.1,60.6,49,28,33,0.00
2000-03-26,40.9,60.6,53,25,35,0.40
2000-03-27,41.3,61.0,42,27,32,0.00
2000-03-28,41.1,61.0,40,23,28,0.00
2000-03-29,41.0,61.0,39,19,28,0.00
2000-03-30,41.0,61.0,48,24,34,0.20
2000-03-31,41.2,61.2,54,31,42,0.10
2000-04-01,41.3,61.3,60,37,45,0.00
2000-04-02,41.1,61.3,63,36,46,0.00
2000-04-03,40.9,61.3,59,36,45,0.00
2000-04-04,40.9,61.3,40,24,33,0.00
2000-04-05,40.6,61.3,43,22,29,0.50
2000-04-06,41.1,61.8,44,22,29,0.00
2000-04-07,40.8,61.8,54,20,35,0.40
2000-04-08,41.2,62.2,59,33,44,0.00
2000-04-09,41.3,62.2,57,32,42,0.00
2000-04-10,41.0,62.2,60,31,42,0.00
2000-04-11,40.8,62.2,62,33,44,0.00
2000-04-12,40.5,62.2,61,38,45,0.00
2000-04-13,40.2,62.2,45,34,38,0.00
2000-04-14,40.2,62.2,39,30,34,0.20
2000-04-15,39.6,62.4,47,29,35,0.00
2000-04-16,39.4,62.4,46,27,34,0.00
2000-04-17,39.4,62.4,54,23,38,0.00
2000-04-18,39.4,62.4,57,30,42,0.00
2000-04-19,38.9,62.4,51,25,36,0.00
2000-04-20,38.7,62.4,58,31,39,0.00
2000-04-21,38.7,62.4,50,32,38,0.10
2000-04-22,38.5,62.5,47,28,33,0.20
2000-04-23,38.4,62.7,39,20,29,0.40
2000-04-24,38.4,63.1,41,15,29,0.00
2000-04-25,39.1,63.1,42,23,32,0.30
2000-04-26,38.6,63.4,51,22,36,0.00
2000-04-27,39.4,63.4,42,26,35,0.00
2000-04-28,38.9,63.4,43,24,31,0.60
2000-04-29,38.9,64.0,48,22,33,0.00
2000-04-30,39.2,64.0,51,31,38,0.00
2000-05-01,39.3,64.0,50,34,38,0.00
2000-05-02,39.0,64.0,51,30,37,0.00
2000-05-03,38.8,64.0,47,30,35,0.10
2000-05-04,38.5,64.1,45,29,33,0.10
2000-05-05,38.6,64.2,47,27,33,0.00
2000-05-06,38.3,64.2,49,25,31,0.20
2000-05-07,38.5,64.4,47,22,34,0.00
2000-05-08,38.6,64.4,45,30,35,0.50
2000-05-09,38.9,64.9,36,30,32,0.50
2000-05-10,39.4,65.4,42,29,33,0.40
2000-05-11,39.5,65.8,45,28,34,0.00
2000-05-12,39.5,65.8,40,25,32,0.00
2000-05-13,39.8,65.8,50,28,39,0.00
2000-05-14,39.9,65.8,56,35,42,0.00
2000-05-15,39.6,65.8,58,36,45,0.00
2000-05-16,39.0,65.8,62,34,46,0.00
2000-05-17,38.1,65.8,51,33,38,0.00
2000-05-18,37.3,65.8,54,33,40,0.00
2000-05-19,37.1,65.8,58,35,45,0.00
2000-05-20,36.4,65.8,52,34,42,0.10
2000-05-21,35.4,65.9,51,33,42,0.20
2000-05-22,34.5,66.1,55,31,40,0.00
2000-05-23,33.3,66.1,54,29,39,0.00
2000-05-24,33.0,66.1,59,29,42,0.00
2000-05-25,32.2,66.1,55,29,40,0.00
2000-05-26,30.8,66.1,51,35,40,0.00
2000-05-27,30.5,66.1,42,33,37,1.00
2000-05-28,29.3,67.1,48,33,36,0.20
2000-05-29,28.3,67.3,41,33,35,0.60
2000-05-30,28.2,67.9,43,33,36,0.00
2000-05-31,27.7,67.9,49,34,39,0.00
2000-06-01,27.1,67.9,57,31,41,0.00
2000-06-02,26.6,67.9,57,29,41,0.00
2000-06-03,25.8,67.9,69,34,49,0.00
2000-06-04,24.9,67.9,72,44,55,0.00
2000-06-05,23.5,67.9,51,37,43,0.00
2000-06-06,22.0,67.9,45,36,39,0.00
2000-06-07,21.1,67.9,46,36,40,0.10
2000-06-08,20.4,68.0,47,33,40,0.10
2000-06-09,19.4,68.1,47,31,36,0.10
2000-06-10,18.7,68.2,47,30,36,0.00
2000-06-11,18.1,68.2,40,30,36,1.10
2000-06-12,18.4,69.3,56,35,43,0.20
2000-06-13,16.4,69.5,58,35,44,0.00
2000-06-14,15.2,69.5,52,33,44,0.00
2000-06-15,13.9,69.5,60,32,44,0.00
2000-06-16,12.4,69.5,66,33,48,0.00
2000-06-17,10.6,69.5,71,41,55,0.00
2000-06-18,8.3,69.5,62,35,49,0.00
2000-06-19,5.7,69.5,57,33,44,0.00
2000-06-20,3.9,69.5,65,38,50,0.00
2000-06-21,2.3,69.5,64,37,50,0.00
2000-06-22,1.4,69.5,58,35,45,0.00
2000-06-23,0.8,69.5,60,34,47,0.00
2000-06-24,0.4,69.5,63,41,49,0.00
2000-06-25,0.3,69.5,70,41,53,0.00
2000-06-26,0.2,69.5,76,42,56,0.00
2000-06-27,0.2,69.5,77,46,60,0.00
2000-06-28,0.0,69.5,78,47,61,0.00
2000-06-29,0.0,69.5,70,45,54,0.00
2000-06-30,0.0,69.5,60,39,47,0.00
2000-07-01,0.0,69.5,54,35,42,0.00
2000-07-02,0.0,69.5,48,33,38,0.00
2000-07-03,0.0,69.5,53,32,40,0.00
2000-07-04,0.0,69.5,48,37,41,0.00
2000-07-05,0.0,69.5,50,36,43,0.00
2000-07-06,0.0,69.5,55,40,46,0.00
2000-07-07,0.0,69.5,65,38,49,0.00
2000-07-08,0.0,69.5,63,41,51,0.00
2000-07-09,0.0,69.5,58,39,46,0.00
2000-07-10,0.0,69.5,61,39,48,0.00
2000-07-11,0.0,69.5,61,40,48,0.00
2000-07-12,0.0,69.5,68,37,51,0.00
2000-07-13,0.0,69.5,59,38,47,0.00
2000-07-14,0.0,69.5,60,35,45,0.00
2000-07-15,0.0,69.5,66,34,48,0.00
2000-07-16,0.0,69.5,73,41,56,0.00
2000-07-17,0.0,69.5,73,44,56,0.00
2000-07-18,0.0,69.5,71,44,55,0.00
2000-07-19,0.0,69.5,70,45,55,0.00
2000-07-20,0.0,69.5,76,46,58,0.00
2000-07-21,0.0,69.5,76,48,59,0.00
2000-07-22,0.0,69.5,66,43,51,0.00
2000-07-23,0.0,69.5,56,42,47,0.00
2000-07-24,0.0,69.5,69,42,54,0.00
2000-07-25,0.0,69.5,63,44,50,0.00
2000-07-26,0.0,69.5,58,41,47,0.00
2000-07-27,0.0,69.5,54,46,48,0.00
2000-07-28,0.0,69.5,59,46,49,0.00
2000-07-29,0.0,69.5,70,45,55,0.00
2000-07-30,0.0,69.5,78,47,60,0.00
2000-07-31,0.0,69.5,75,45,59,0.00
2000-08-01,0.0,69.5,69,41,53,0.00
2000-08-02,0.0,69.5,71,43,55,0.00
2000-08-03,0.0,69.5,71,44,56,0.00
2000-08-04,0.0,69.5,78,48,60,0.00
2000-08-05,0.0,69.5,78,50,61,0.00
2000-08-06,0.0,69.5,73,48,59,0.00
2000-08-07,0.0,69.5,73,47,58,0.00
2000-08-08,0.0,69.5,78,48,60,0.00
2000-08-09,0.0,69.5,71,46,56,0.00
2000-08-10,0.0,69.5,66,41,52,0.00
2000-08-11,0.0,69.5,55,36,44,0.00
2000-08-12,0.0,69.5,60,35,46,0.00
2000-08-13,0.0,69.5,64,36,47,0.00
2000-08-14,0.0,69.5,63,38,48,0.00
2000-08-15,0.0,69.5,61,39,46,0.00
2000-08-16,0.0,69.5,66,37,49,0.00
2000-08-17,0.0,69.5,59,38,47,0.00
2000-08-18,0.0,69.5,55,39,44,0.00
2000-08-19,0.0,69.5,51,38,42,0.00
2000-08-20,0.0,69.5,55,37,44,0.00
2000-08-21,0.0,69.5,69,39,50,0.00
2000-08-22,0.0,69.5,73,44,55,0.00
2000-08-23,0.0,69.5,74,46,58,0.00
2000-08-24,0.0,69.5,71,45,56,0.10
2000-08-25,0.0,69.6,59,41,49,0.00
2000-08-26,0.0,69.6,63,36,47,0.00
2000-08-27,0.0,69.6,57,33,42,0.10
2000-08-28,0.0,69.7,71,33,49,0.00
2000-08-29,0.0,69.7,54,45,49,0.00
2000-08-30,0.0,69.7,68,40,49,0.10
2000-08-31,0.0,69.8,55,35,43,0.10
2000-09-01,0.0,69.9,44,32,38,0.00
2000-09-02,0.0,69.9,46,35,39,0.10
2000-09-03,0.0,70.0,50,35,39,0.00
2000-09-04,0.0,70.0,51,35,41,0.00
2000-09-05,0.0,70.0,52,34,43,0.20
2000-09-06,0.0,70.2,54,39,45,0.00
2000-09-07,0.0,70.2,55,38,43,0.00
2000-09-08,0.0,70.2,43,34,38,0.20
2000-09-09,0.0,70.4,47,35,40,0.00
2000-09-10,0.0,70.4,63,36,47,0.00
2000-09-11,0.0,70.4,,,,0.00
2000-09-12,0.0,70.4,,,,0.00
2000-09-13,0.0,70.4,,,,0.00
2000-09-14,0.0,70.4,,,,0.00
2000-09-15,0.0,70.4,,,,0.00
2000-09-16,0.0,70.4,,,,0.00
2000-09-17,0.0,70.4,,,,0.00
2000-09-18,0.0,70.4,,,,0.00
2000-09-19,0.0,70.4,,,,0.10
2000-09-20,0.0,70.5,,,,0.10
2000-09-21,0.0,70.6,,,,0.10
2000-09-22,0.0,70.7,,,,0.00
2000-09-23,0.0,70.7,,,,0.00
2000-09-24,0.0,70.7,,,,0.00
2000-09-25,0.0,70.7,48,46,47,0.00
2000-09-26,0.0,70.7,48,45,47,0.00
2000-09-27,0.0,70.7,48,45,47,0.00
2000-09-28,0.0,70.7,48,46,47,0.00
2000-09-29,0.0,70.7,,,,0.00
2000-09-30,0.0,70.7,48,45,47,0.80
2000-10-01,0.0,0.0,47,45,46,0.20
2000-10-02,0.0,0.2,54,46,47,0.00
2000-10-03,0.0,0.2,47,46,47,0.00
2000-10-04,0.0,0.2,47,45,47,0.00
2000-10-05,0.0,0.2,47,45,47,0.00
2000-10-06,0.0,0.2,47,44,46,0.00
2000-10-07,0.0,0.2,47,44,46,0.00
2000-10-08,0.0,0.2,47,46,46,0.20
2000-10-09,0.0,0.4,47,46,46,0.50
2000-10-10,0.0,0.9,46,44,45,0.00
2000-10-11,0.0,0.9,46,44,45,0.00
2000-10-12,0.0,0.9,46,44,45,0.00
2000-10-13,0.0,0.9,46,45,45,0.20
2000-10-14,0.0,1.1,46,44,45,0.00
2000-10-15,0.0,1.1,46,44,46,0.00
2000-10-16,0.0,1.1,46,42,45,0.60
2000-10-17,0.0,1.7,42,25,38,1.00
2000-10-18,0.0,2.7,41,36,40,0.40
2000-10-19,0.0,3.1,42,35,41,0.40
2000-10-20,0.0,3.5,42,26,35,1.30
2000-10-21,0.0,4.8,43,41,42,0.00
2000-10-22,0.0,4.8,43,42,43,0.00
2000-10-23,0.0,4.8,43,42,43,0.00
2000-10-24,0.0,4.8,43,42,43,0.00
2000-10-25,0.0,4.8,,,,0.00
2000-10-26,0.0,4.8,44,42,43,0.00
2000-10-27,0.0,4.8,44,43,44,0.40
2000-10-28,0.0,5.2,44,43,43,0.30
2000-10-29,0.0,5.5,44,43,43,0.10
2000-10-30,0.0,5.6,44,43,43,0.00
2000-10-31,0.5,5.6,44,43,44,0.00
2000-11-01,0.5,5.6,44,43,44,0.00
2000-11-02,0.7,5.6,44,43,44,0.00
2000-11-03,0.9,5.6,44,43,43,0.00
2000-11-04,0.7,5.6,43,42,42,0.80
2000-11-05,0.3,6.4,43,43,43,0.00
2000-11-06,0.6,6.4,44,43,43,0.10
2000-11-07,0.5,6.5,44,43,43,0.20
2000-11-08,0.7,6.7,44,43,44,0.60
2000-11-09,1.1,7.3,44,44,44,0.40
2000-11-10,1.5,7.7,45,44,44,0.30
2000-11-11,1.3,8.0,45,44,44,0.00
2000-11-12,1.5,8.0,44,44,44,0.00
2000-11-13,1.8,8.0,44,44,44,0.10
2000-11-14,1.6,8.1,45,44,44,0.00
2000-11-15,1.5,8.1,45,44,45,0.00
2000-11-16,1.5,8.1,45,44,45,0.00
2000-11-17,1.5,8.1,45,44,44,0.00
2000-11-18,1.8,8.1,45,44,44,0.00
2000-11-19,2.0,8.1,45,,,0.00
2000-11-20,2.1,8.1,44,44,44,0.00
2000-11-21,2.1,8.1,,,,0.00
2000-11-22,2.1,8.1,51,44,44,0.00
2000-11-23,2.3,8.1,,,,0.40
2000-11-24,2.4,8.5,44,44,44,0.00
2000-11-25,2.3,8.5,55,44,44,0.30
2000-11-26,2.5,8.8,44,44,44,0.50
2000-11-27,3.6,9.3,45,44,44,1.90
2000-11-28,3.7,11.2,45,44,45,0.00
2000-11-29,3.9,11.2,44,44,44,0.00
2000-11-30,4.9,11.2,44,44,44,0.30
2000-12-01,5.5,11.5,44,44,44,0.80
2000-12-02,5.9,12.3,44,44,44,0.20
2000-12-03,5.8,12.5,44,44,44,0.00
2000-12-04,5.6,12.5,44,44,44,0.00
2000-12-05,5.7,12.5,44,44,44,0.00
2000-12-06,5.7,12.5,,,,0.10
2000-12-07,5.7,12.6,44,43,44,0.00
2000-12-08,5.8,12.6,47,44,44,0.00
2000-12-09,5.8,12.6,45,44,45,0.00
2000-12-10,5.6,12.6,45,44,45,0.00
2000-12-11,5.6,12.6,45,44,45,0.00
2000-12-12,5.7,12.6,45,45,45,0.00
2000-12-13,5.8,12.6,45,44,45,0.20
2000-12-14,5.9,12.8,45,44,45,0.20
2000-12-15,6.7,13.0,45,44,45,0.00
2000-12-16,6.8,13.0,45,44,44,1.50
2000-12-17,8.3,14.5,45,44,45,0.50
2000-12-18,8.1,15.0,45,44,45,0.10
2000-12-19,8.5,15.1,45,44,45,0.20
2000-12-20,8.3,15.3,45,44,45,0.00
2000-12-21,8.6,15.3,45,44,44,0.30
