#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 943: Dungeness, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Dungeness (943) 
# Washington  SNOTEL Site - 4010 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 23, 2021 8:14:30 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1998-12-07,6.3,20.5,34,23,29,0.10
1998-12-08,6.4,20.6,36,22,25,0.00
1998-12-09,6.4,20.6,40,27,34,0.00
1998-12-10,6.4,20.6,41,29,34,0.10
1998-12-11,6.6,20.7,40,29,34,0.20
1998-12-12,6.6,20.9,43,36,39,1.80
1998-12-13,6.3,22.7,41,24,33,0.80
1998-12-14,5.9,23.5,35,22,27,0.00
1998-12-15,5.9,23.5,47,30,36,0.00
1998-12-16,5.9,23.5,47,31,36,0.00
1998-12-17,5.9,23.5,42,22,32,0.00
1998-12-18,5.7,23.5,32,16,20,0.00
1998-12-19,6.8,23.5,17,3,8,0.10
1998-12-20,7.6,23.6,12,-1,3,0.10
1998-12-21,7.1,23.7,20,9,14,0.20
1998-12-22,7.1,23.9,21,11,16,0.20
1998-12-23,6.9,24.1,26,18,22,0.00
1998-12-24,6.7,24.1,38,24,31,0.10
1998-12-25,6.5,24.2,37,29,33,0.60
1998-12-26,6.7,24.8,35,27,29,0.10
1998-12-27,6.6,24.9,39,29,35,1.20
1998-12-28,6.7,26.1,40,34,36,0.00
1998-12-29,6.7,26.1,43,32,38,1.30
1998-12-30,6.7,27.4,43,32,37,0.00
1998-12-31,6.5,27.4,41,24,32,0.00
1999-01-01,6.5,27.4,35,24,27,0.00
1999-01-02,6.5,27.4,47,24,32,0.00
1999-01-03,6.5,27.4,49,34,39,0.00
1999-01-04,6.5,27.4,53,38,43,0.00
1999-01-05,6.4,27.4,52,38,42,0.00
1999-01-06,6.4,27.4,42,30,33,0.00
1999-01-07,6.4,27.4,39,27,32,0.00
1999-01-08,6.4,27.4,39,29,33,0.00
1999-01-09,6.4,27.4,39,30,34,0.10
1999-01-10,6.5,27.5,46,38,42,0.10
1999-01-11,6.5,27.6,44,32,38,0.00
1999-01-12,6.5,27.6,,,,0.00
1999-01-13,6.5,27.6,44,28,35,0.00
1999-01-14,6.2,27.6,46,27,35,1.50
1999-01-15,6.6,29.1,39,24,29,0.30
1999-01-16,6.8,29.4,31,26,27,0.40
1999-01-17,6.9,29.8,34,25,30,0.70
1999-01-18,7.4,30.5,33,29,31,1.20
1999-01-19,8.6,31.7,34,29,31,0.10
1999-01-20,9.1,31.8,39,29,32,0.10
1999-01-21,9.4,31.9,36,26,30,0.00
1999-01-22,9.4,31.9,33,25,27,0.20
1999-01-23,9.6,32.1,27,18,24,0.40
1999-01-24,10.4,32.5,36,17,23,0.10
1999-01-25,10.0,32.6,34,22,27,0.00
1999-01-26,9.9,32.6,30,19,25,0.10
1999-01-27,10.0,32.7,35,22,28,0.70
1999-01-28,10.5,33.4,,,,4.20
1999-01-29,15.1,37.6,,,,0.00
1999-01-30,15.1,37.6,,,,0.00
1999-01-31,15.1,37.6,28,20,24,0.00
1999-02-01,15.1,37.6,37,22,29,0.40
1999-02-02,15.3,38.0,37,24,32,0.20
1999-02-03,15.2,38.2,35,24,28,0.30
1999-02-04,15.6,38.5,40,23,28,0.60
1999-02-05,16.4,39.1,30,23,26,1.00
1999-02-06,17.7,40.1,33,26,29,1.00
1999-02-07,18.8,41.1,33,20,26,0.10
1999-02-08,18.9,41.2,30,15,22,1.10
1999-02-09,20.4,42.3,34,12,18,0.00
1999-02-10,20.5,42.3,30,16,20,0.10
1999-02-11,20.0,42.4,36,24,30,0.00
1999-02-12,19.8,42.4,43,33,36,0.00
1999-02-13,19.6,42.4,44,22,32,0.00
1999-02-14,19.6,42.4,39,21,26,0.00
1999-02-15,19.5,42.4,37,22,29,0.60
1999-02-16,20.4,43.0,38,25,30,0.70
1999-02-17,20.8,43.7,37,22,27,0.30
1999-02-18,21.1,44.0,33,22,28,0.60
1999-02-19,21.7,44.6,42,22,28,0.00
1999-02-20,21.7,44.6,38,27,30,0.60
1999-02-21,22.7,45.2,33,25,29,0.50
1999-02-22,23.2,45.7,36,23,30,0.70
1999-02-23,23.6,46.4,38,24,30,1.40
1999-02-24,23.6,47.8,38,29,35,2.50
1999-02-25,23.5,50.3,43,21,30,0.30
1999-02-26,23.9,50.6,36,18,25,0.10
1999-02-27,24.1,50.7,40,32,36,0.70
1999-02-28,24.3,51.4,37,24,29,0.20
1999-03-01,24.6,51.6,40,19,28,0.20
1999-03-02,24.8,51.8,30,19,26,1.30
1999-03-03,26.8,53.1,30,22,26,2.20
1999-03-04,28.7,55.3,33,18,24,0.00
1999-03-05,28.8,55.3,38,18,22,0.00
1999-03-06,28.9,55.3,41,16,23,0.00
1999-03-07,28.9,55.3,39,18,25,0.00
1999-03-08,28.8,55.3,31,24,27,0.70
1999-03-09,29.4,56.0,34,22,27,0.10
1999-03-10,29.4,56.1,38,24,28,0.00
1999-03-11,29.5,56.1,45,22,30,0.00
1999-03-12,29.5,56.1,44,29,35,0.10
1999-03-13,29.5,56.2,40,31,35,1.20
1999-03-14,29.3,57.4,38,25,31,0.00
1999-03-15,29.4,57.4,31,22,26,0.00
1999-03-16,29.3,57.4,36,20,26,0.10
1999-03-17,29.2,57.5,42,25,32,0.00
1999-03-18,29.3,57.5,45,24,34,0.00
1999-03-19,29.3,57.5,63,35,43,0.00
1999-03-20,29.2,57.5,63,38,47,0.00
1999-03-21,29.2,57.5,45,33,37,0.10
1999-03-22,29.0,57.6,43,32,36,0.50
1999-03-23,29.1,58.1,43,26,34,0.40
1999-03-24,29.2,58.5,41,29,34,0.50
1999-03-25,29.1,59.0,44,24,31,0.00
1999-03-26,29.1,59.0,35,22,27,0.00
1999-03-27,29.2,59.0,35,19,25,0.00
1999-03-28,29.3,59.0,33,20,25,0.60
1999-03-29,29.8,59.6,32,20,26,1.40
1999-03-30,31.2,61.0,36,19,24,0.20
1999-03-31,31.5,61.2,39,18,26,0.00
1999-04-01,31.5,61.2,47,23,31,0.00
1999-04-02,31.5,61.2,44,23,30,0.10
1999-04-03,31.6,61.3,36,20,26,0.00
1999-04-04,31.6,61.3,33,22,27,0.00
1999-04-05,31.6,61.3,41,20,28,0.00
1999-04-06,31.6,61.3,,,,0.00
1999-04-07,31.6,61.3,43,28,35,0.10
1999-04-08,31.6,61.4,32,19,26,0.00
1999-04-09,31.7,61.4,40,18,27,0.00
1999-04-10,31.7,61.4,36,27,31,0.20
1999-04-11,31.7,61.6,58,29,40,0.00
1999-04-12,31.7,61.6,46,28,36,0.00
1999-04-13,31.4,61.6,43,23,30,0.00
1999-04-14,31.3,61.6,56,25,37,0.00
1999-04-15,31.1,61.6,57,36,45,0.00
1999-04-16,30.8,61.6,69,45,53,0.00
1999-04-17,29.9,61.6,60,40,48,0.10
1999-04-18,28.7,61.7,46,34,40,0.00
1999-04-19,28.0,61.7,47,31,37,0.00
1999-04-20,27.6,61.7,39,26,31,0.00
1999-04-21,27.7,61.7,36,26,30,0.10
1999-04-22,27.5,61.8,55,27,38,0.00
1999-04-23,27.3,61.8,67,37,46,0.10
1999-04-24,26.6,61.9,69,41,50,0.00
1999-04-25,25.6,61.9,45,28,36,0.20
1999-04-26,24.8,62.1,37,25,28,0.40
1999-04-27,25.2,62.5,38,23,28,0.00
1999-04-28,25.3,62.5,46,25,34,0.00
1999-04-29,25.3,62.5,56,31,40,0.10
1999-04-30,25.1,62.6,54,35,41,0.00
1999-05-01,24.5,62.6,45,30,35,0.00
1999-05-02,23.9,62.6,39,29,33,0.10
1999-05-03,23.7,62.7,40,26,32,0.00
1999-05-04,23.4,62.7,38,25,30,0.10
1999-05-05,23.4,62.8,51,24,38,0.10
1999-05-06,22.8,62.9,49,26,40,0.10
1999-05-07,22.1,63.0,38,23,28,0.10
1999-05-08,21.8,63.1,36,23,27,0.30
1999-05-09,22.1,63.4,37,21,28,0.10
1999-05-10,22.3,63.5,49,23,35,0.10
1999-05-11,22.1,63.6,56,32,39,0.00
1999-05-12,21.7,63.6,38,29,32,0.10
1999-05-13,21.5,63.7,37,28,31,0.30
1999-05-14,21.8,64.0,45,28,33,0.10
1999-05-15,21.8,64.1,46,31,37,0.00
1999-05-16,21.6,64.1,37,32,34,0.10
1999-05-17,21.5,64.2,55,33,40,0.10
1999-05-18,20.6,64.3,46,30,37,0.00
1999-05-19,20.1,64.3,40,30,34,0.00
1999-05-20,19.9,64.3,48,33,38,0.00
1999-05-21,19.2,64.3,47,31,38,0.00
1999-05-22,18.8,64.3,69,35,49,0.00
1999-05-23,17.8,64.3,80,46,58,0.00
1999-05-24,16.3,64.3,73,43,58,0.00
1999-05-25,14.5,64.3,46,33,40,0.00
1999-05-26,13.7,64.3,62,32,45,0.00
1999-05-27,12.7,64.3,57,40,47,0.10
1999-05-28,11.8,64.4,52,33,42,0.00
1999-05-29,11.0,64.4,54,36,43,0.00
1999-05-30,10.1,64.4,56,37,47,0.00
1999-05-31,9.3,64.4,57,36,48,0.00
1999-06-01,7.9,64.4,41,30,34,0.20
1999-06-02,7.7,64.6,52,29,39,0.00
1999-06-03,6.9,64.6,62,40,49,0.00
1999-06-04,5.4,64.6,53,43,47,0.00
1999-06-05,4.1,64.6,50,31,38,0.00
1999-06-06,3.5,64.6,39,30,33,0.20
1999-06-07,3.3,64.8,42,31,34,0.60
1999-06-08,3.5,65.4,41,31,36,0.30
1999-06-09,3.2,65.7,43,34,38,0.00
1999-06-10,2.6,65.7,50,33,40,0.00
1999-06-11,1.4,65.7,65,38,51,0.00
1999-06-12,0.6,65.7,70,51,58,0.00
1999-06-13,0.0,65.7,66,48,56,0.00
1999-06-14,0.0,65.7,77,50,63,0.00
1999-06-15,0.0,65.7,65,48,57,0.10
1999-06-16,0.0,65.8,49,43,46,0.00
1999-06-17,0.0,65.8,61,41,50,0.00
1999-06-18,0.0,65.8,51,40,45,0.00
1999-06-19,0.0,65.8,43,38,40,0.10
1999-06-20,0.0,65.9,51,39,45,0.00
1999-06-21,0.0,65.9,50,43,46,0.10
1999-06-22,0.0,66.0,48,41,44,0.00
1999-06-23,0.0,66.0,58,43,49,0.10
1999-06-24,0.0,66.1,54,40,44,1.00
1999-06-25,0.0,67.1,45,37,41,0.30
1999-06-26,0.0,67.4,46,36,40,0.20
1999-06-27,0.0,67.6,45,36,40,0.00
1999-06-28,0.0,67.6,46,39,42,0.00
1999-06-29,0.0,67.6,52,42,46,0.00
1999-06-30,0.0,67.6,56,43,47,0.10
1999-07-01,0.0,67.7,46,34,40,0.00
1999-07-02,0.0,67.7,43,33,38,0.20
1999-07-03,0.0,67.9,43,37,40,0.20
1999-07-04,0.0,68.1,49,37,44,0.10
1999-07-05,0.0,68.2,64,40,50,0.00
1999-07-06,0.0,68.2,71,46,58,0.00
1999-07-07,0.0,68.2,52,37,46,0.00
1999-07-08,0.0,68.2,66,37,52,0.00
1999-07-09,0.0,68.2,75,51,62,0.00
1999-07-10,0.0,68.2,75,54,62,0.00
1999-07-11,0.0,68.2,74,53,61,0.00
1999-07-12,0.0,68.2,71,49,58,0.10
1999-07-13,0.0,68.3,67,43,55,0.00
1999-07-14,0.0,68.3,59,38,47,0.00
1999-07-15,0.0,68.3,59,43,50,0.00
1999-07-16,0.0,68.3,50,44,47,1.40
1999-07-17,0.0,69.7,64,43,51,0.00
1999-07-18,0.0,69.7,66,47,55,0.00
1999-07-19,0.0,69.7,73,49,58,0.00
1999-07-20,0.0,69.7,68,49,58,0.00
1999-07-21,0.0,69.7,63,47,53,0.00
1999-07-22,0.0,69.7,,,,0.00
1999-07-23,0.0,69.7,65,48,55,0.00
1999-07-24,0.0,69.7,52,40,48,0.00
1999-07-25,0.0,69.7,60,37,48,0.00
1999-07-26,0.0,69.7,71,47,57,0.00
1999-07-27,0.0,69.7,76,52,62,0.00
1999-07-28,0.0,69.7,74,55,62,0.00
1999-07-29,0.0,69.7,64,47,55,0.00
1999-07-30,0.0,69.7,61,47,50,0.00
1999-07-31,0.0,69.7,65,45,52,0.00
1999-08-01,0.0,69.7,67,49,56,0.00
1999-08-02,0.0,69.7,75,55,63,0.00
1999-08-03,0.0,69.7,73,56,62,0.00
1999-08-04,0.0,69.7,72,54,61,0.30
1999-08-05,0.0,70.0,74,53,61,0.00
1999-08-06,0.0,70.0,71,55,62,0.00
1999-08-07,0.0,70.0,63,49,55,0.00
1999-08-08,0.0,70.0,60,48,52,0.00
1999-08-09,0.0,70.0,63,49,55,0.00
1999-08-10,0.0,70.0,71,51,58,0.00
1999-08-11,0.0,70.0,60,47,53,0.00
1999-08-12,0.0,70.0,55,46,50,0.30
1999-08-13,0.0,70.3,54,44,47,0.50
1999-08-14,0.0,70.8,54,43,46,0.00
1999-08-15,0.0,70.8,53,42,48,0.00
1999-08-16,0.0,70.8,59,47,51,0.00
1999-08-17,0.0,70.8,72,48,58,0.00
1999-08-18,0.0,70.8,72,53,61,0.00
1999-08-19,0.0,70.8,64,44,53,0.00
1999-08-20,0.0,70.8,65,50,55,0.00
1999-08-21,0.0,70.8,59,46,51,0.00
1999-08-22,0.0,70.8,71,45,57,0.00
1999-08-23,0.0,70.8,76,58,64,0.00
1999-08-24,0.0,70.8,70,55,62,0.00
1999-08-25,0.0,70.8,62,48,54,0.00
1999-08-26,0.0,70.8,69,50,57,0.00
1999-08-27,0.0,70.8,79,53,65,0.00
1999-08-28,0.0,70.8,64,50,58,0.00
1999-08-29,0.0,70.8,51,38,44,0.00
1999-08-30,0.0,70.8,51,34,41,0.00
1999-08-31,0.0,70.8,46,33,40,0.00
1999-09-01,0.0,70.8,52,35,41,0.00
1999-09-02,0.0,70.8,61,37,46,0.10
1999-09-03,0.0,70.9,66,43,51,0.00
1999-09-04,0.0,70.9,59,48,51,0.00
1999-09-05,0.0,70.9,61,43,51,0.00
1999-09-06,0.0,70.9,53,37,43,0.00
1999-09-07,0.0,70.9,60,35,46,0.10
1999-09-08,0.0,71.0,72,50,58,0.00
1999-09-09,0.0,71.0,60,40,51,0.00
1999-09-10,0.0,71.0,57,38,45,0.00
1999-09-11,0.0,71.0,64,41,50,0.00
1999-09-12,0.0,71.0,73,50,59,0.10
1999-09-13,0.0,71.1,78,58,64,0.00
1999-09-14,0.0,71.1,75,54,61,0.00
1999-09-15,0.0,71.1,69,50,57,0.00
1999-09-16,0.0,71.1,62,46,51,0.00
1999-09-17,0.0,71.1,70,46,53,0.00
1999-09-18,0.0,71.1,74,52,60,0.00
1999-09-19,0.0,71.1,78,56,63,0.00
1999-09-20,0.0,71.1,75,56,61,0.00
1999-09-21,0.0,71.1,75,56,61,0.00
1999-09-22,0.0,71.1,72,54,59,0.00
1999-09-23,0.0,71.1,59,36,47,0.00
1999-09-24,0.0,71.1,51,36,43,0.00
1999-09-25,0.0,71.1,51,35,43,0.00
1999-09-26,0.0,71.1,46,32,37,0.00
1999-09-27,0.0,71.1,49,31,36,0.00
1999-09-28,0.0,71.1,60,38,47,0.00
1999-09-29,0.0,71.1,55,38,45,0.00
1999-09-30,0.0,71.1,54,35,42,0.00
1999-10-01,0.0,0.0,57,39,44,0.00
1999-10-02,0.0,0.0,58,37,44,0.00
1999-10-03,0.0,0.0,64,44,50,0.00
1999-10-04,0.0,0.0,65,46,52,0.00
1999-10-05,0.0,0.0,50,39,44,0.00
1999-10-06,0.0,0.0,50,39,44,0.00
1999-10-07,0.0,0.0,52,41,45,0.00
1999-10-08,0.0,0.0,45,32,39,0.20
1999-10-09,0.0,0.2,45,30,34,0.00
1999-10-10,0.0,0.2,43,31,36,0.00
1999-10-11,0.0,0.2,43,35,38,0.00
1999-10-12,0.0,0.2,53,36,45,0.00
1999-10-13,0.0,0.2,51,33,43,0.00
1999-10-14,0.0,0.2,44,30,34,0.00
1999-10-15,0.0,0.2,42,28,32,0.00
1999-10-16,0.0,0.2,54,31,40,0.10
1999-10-17,0.0,0.3,58,40,46,0.00
1999-10-18,0.0,0.3,58,39,45,0.00
1999-10-19,0.0,0.3,69,46,53,0.10
1999-10-20,0.0,0.4,67,49,53,0.00
1999-10-21,0.0,0.4,68,49,54,0.00
1999-10-22,0.0,0.4,72,53,57,0.00
1999-10-23,0.0,0.4,60,35,50,0.00
1999-10-24,0.0,0.4,47,30,36,0.00
1999-10-25,0.0,0.4,47,32,41,0.00
1999-10-26,0.0,0.4,43,29,32,0.00
1999-10-27,0.0,0.4,38,31,35,1.80
1999-10-28,0.0,2.2,41,30,37,1.00
1999-10-29,0.0,3.2,43,31,38,0.10
1999-10-30,0.0,3.3,47,36,41,0.40
1999-10-31,0.0,3.7,40,27,32,0.00
1999-11-01,0.0,3.7,42,26,32,0.00
1999-11-02,0.0,3.7,48,33,40,0.00
1999-11-03,0.0,3.7,50,30,41,0.00
1999-11-04,0.0,3.7,37,22,27,0.00
1999-11-05,0.0,3.7,46,24,35,0.30
1999-11-06,0.0,4.0,53,42,46,1.20
1999-11-07,0.0,5.2,51,42,47,0.00
1999-11-08,0.0,5.2,46,33,40,0.30
1999-11-09,0.0,5.5,38,33,35,2.00
1999-11-10,0.0,7.5,39,33,35,0.20
1999-11-11,0.0,7.7,46,36,42,2.60
1999-11-12,0.0,10.3,43,32,35,0.60
1999-11-13,0.0,10.9,48,35,41,0.10
1999-11-14,0.0,11.0,57,46,51,0.00
1999-11-15,0.0,11.0,54,41,47,0.10
1999-11-16,0.0,11.1,48,32,41,0.50
1999-11-17,0.2,11.6,39,29,32,0.00
1999-11-18,0.0,11.6,39,28,35,0.00
1999-11-19,0.1,11.6,39,32,36,1.00
1999-11-20,0.2,12.6,34,29,31,0.50
1999-11-21,0.5,13.1,38,24,28,0.00
1999-11-22,0.6,13.1,38,28,30,0.10
1999-11-23,0.6,13.2,43,28,31,0.00
1999-11-24,0.6,13.2,43,31,36,0.20
1999-11-25,0.5,13.4,35,29,32,0.40
1999-11-26,0.5,13.8,32,24,27,0.00
1999-11-27,0.6,13.8,34,21,29,0.10
1999-11-28,0.6,13.9,45,33,37,0.00
1999-11-29,0.7,13.9,47,34,40,1.10
1999-11-30,0.2,15.0,35,30,32,0.10
1999-12-01,0.4,15.1,39,28,33,0.20
1999-12-02,0.5,15.3,40,23,30,0.60
1999-12-03,0.4,15.9,34,23,29,0.00
1999-12-04,0.4,15.9,43,31,38,0.10
1999-12-05,0.4,16.0,36,28,32,0.10
1999-12-06,0.5,16.1,36,25,30,0.30
1999-12-07,0.6,16.4,35,21,24,0.00
1999-12-08,0.5,16.4,35,23,29,0.40
1999-12-09,1.0,16.8,36,26,29,0.20
1999-12-10,1.1,17.0,39,26,31,0.00
1999-12-11,1.1,17.0,42,35,38,0.10
1999-12-12,1.1,17.1,39,22,30,0.40
1999-12-13,1.4,17.5,32,21,25,0.30
1999-12-14,1.5,17.8,40,26,32,0.10
1999-12-15,1.6,17.9,44,37,40,2.00
1999-12-16,1.2,19.9,44,31,35,0.00
1999-12-17,1.3,19.9,41,33,36,1.00
1999-12-18,1.3,20.9,39,28,33,0.00
1999-12-19,1.5,20.9,34,27,31,0.00
1999-12-20,1.5,20.9,47,28,35,0.00
1999-12-21,1.2,20.9,51,36,41,0.10
1999-12-22,1.2,21.0,56,42,47,0.00
1999-12-23,1.4,21.0,59,45,48,0.00
